top - 00:32:23 up  1:09,  1 user,  load average: 19.62, 18.25, 15.87
Tasks: 454 total,   3 running, 451 sleeping,   0 stopped,   0 zombie
%Cpu(s): 61.9 us,  6.0 sy,  0.0 ni, 32.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15911.2 total,   4096.4 free,   7408.0 used,   4406.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   8007.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1780 root      20   0 2874416  81552  53504 S   0.0   0.5   0:00.63 dockerd
   1788 statd     20   0    4776   2180   1920 S   0.0   0.0   0:00.00 rpc.statd
   1789 root      20   0    5136   1700   1408 S   0.0   0.0   0:00.00 rpc.mountd
   1790 kernoops  20   0   13092   2060   1664 S   0.0   0.0   0:00.00 kerneloops
   1797 kernoops  20   0   13092   2196   1792 S   0.0   0.0   0:00.00 kerneloops
   1803 root      20   0       0      0      0 S   0.0   0.0   0:00.00 lockd
   1810 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 iprt-VBoxWQueue
   1811 root      20   0       0      0      0 S   0.0   0.0   0:00.00 iprt-VBoxTscThread
   1828 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1829 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1830 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1831 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1832 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1833 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1834 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   1835 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nfsd
   2012 root      20   0  171376  10828   9192 S   0.0   0.1   0:00.03 gdm-session-wor
   2020 aidan     20   0   18172  10368   7936 S   0.0   0.1   0:00.35 systemd
   2021 aidan     20   0  170392   6200   1664 S   0.0   0.0   0:00.00 (sd-pam)
   2028 aidan      9 -11   40204   6388   5364 S   0.0   0.0   0:00.02 pipewire
   2029 aidan     20   0   24096   6528   5504 S   0.0   0.0   0:00.02 pipewire-media-
   2030 aidan      9 -11 2287496  30936  21592 S   0.0   0.2   1:17.29 pulseaudio
   2038 aidan     20   0    9932   5236   4084 S   0.0   0.0   0:00.60 dbus-daemon
   2045 aidan     20   0  241780   7320   6272 S   0.0   0.0   0:00.10 gnome-keyring-d
   2054 aidan     20   0  537548   7252   6612 S   0.0   0.0   0:00.07 xdg-document-po
   2057 aidan     20   0  236796   6016   5632 S   0.0   0.0   0:00.00 xdg-permission-
   2063 root      20   0    2796   1792   1792 S   0.0   0.0   0:00.00 fusermount3
   2084 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   2131 aidan     20   0  163072   6144   5632 S   0.0   0.0   0:00.00 gdm-x-session
   2147 aidan     20   0  223684  15800  14008 S   0.0   0.1   0:00.01 gnome-session-b
   2220 aidan     20   0  309640   7936   7296 S   0.0   0.0   0:00.00 at-spi-bus-laun
   2226 aidan     20   0    8564   4328   3944 S   0.0   0.0   0:00.16 dbus-daemon
   2234 aidan     20   0   92552   5480   5096 S   0.0   0.0   0:00.00 gnome-session-c
   2244 aidan     20   0  241396   7668   6900 S   0.0   0.0   0:00.03 gvfsd
   2250 aidan     20   0  380896   6528   5888 S   0.0   0.0   0:00.00 gvfsd-fuse
   2253 aidan     20   0  519964  17336  14776 S   0.0   0.1   0:00.13 gnome-session-b
   2289 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-drm/timeline-8
   2304 aidan     20   0  583028  20608  18048 S   0.0   0.1   0:00.03 gnome-shell-cal
   2311 aidan     20   0 1072868  25724  21884 S   0.0   0.2   0:00.04 evolution-sourc
   2316 aidan     20   0  157104   6016   5376 S   0.0   0.0   0:00.02 dconf-service
   2321 aidan     20   0  582544  40360  33064 S   0.0   0.2   0:00.03 goa-daemon
   2322 aidan     20   0  390524  11448   9144 S   0.0   0.1   0:00.20 gvfs-udisks2-vo
   2328 aidan     20   0  841156  30460  26492 S   0.0   0.2   0:00.05 evolution-calen
   2331 aidan     20   0  237276   6372   5860 S   0.0   0.0   0:00.00 gvfs-goa-volume
   2341 aidan     20   0  339044  15232  13312 S   0.0   0.1   0:00.05 goa-identity-se
   2343 aidan     20   0  238184   6756   6116 S   0.0   0.0   0:00.00 gvfs-gphoto2-vo
   2351 aidan     20   0  237236   6344   5832 S   0.0   0.0   0:00.01 gvfs-mtp-volume
   2358 aidan     20   0  315852   7936   7040 S   0.0   0.0   0:00.05 gvfs-afc-volume
   2368 aidan     20   0  746664  28516  25060 S   0.0   0.2   0:00.01 evolution-addre
   2382 aidan     20   0  315640   8952   7800 S   0.0   0.1   0:00.01 gvfsd-trash
   2393 aidan     20   0 2866532  27864  22656 S   0.0   0.2   0:00.05 gjs
   2395 aidan     20   0  162820   8124   7356 S   0.0   0.0   0:00.52 at-spi2-registr
   2411 aidan     20   0   38952  11768  10360 S   0.0   0.1   0:00.03 snapd-desktop-i
   2414 aidan     20   0  624448  13424  11376 S   0.0   0.1   0:00.15 xdg-desktop-por
   2421 aidan     20   0    2892   1636   1636 S   0.0   0.0   0:00.00 sh
   2422 aidan     20   0  311084   6600   6088 S   0.0   0.0   0:00.02 gsd-a11y-settin
   2424 aidan     20   0  316124  11968   6888 S   0.0   0.1   0:06.61 ibus-daemon
   2425 aidan     20   0  622988  28604  21260 S   0.0   0.2   0:00.19 gsd-color
   2427 aidan     20   0  376124  16124  14332 S   0.0   0.1   0:00.02 gsd-datetime
   2430 aidan     20   0  312764   7808   7040 S   0.0   0.0   0:00.09 gsd-housekeepin
   2434 aidan     20   0  342088  23732  16988 S   0.0   0.1   0:00.12 gsd-keyboard
   2437 aidan     20   0  792044  28732  21060 S   0.0   0.2   0:00.21 gsd-media-keys
   2439 aidan     20   0  451964  26300  19616 S   0.0   0.2   0:00.19 gsd-power
   2444 aidan     20   0  250496  11088   9808 S   0.0   0.1   0:00.01 gsd-print-notif
   2448 aidan     20   0  458500   6512   6000 S   0.0   0.0   0:00.01 gsd-rfkill
   2454 aidan     20   0  236932   6216   5704 S   0.0   0.0   0:00.01 gsd-screensaver
   2456 aidan     20   0  466596  10496   8960 S   0.0   0.1   0:00.05 gsd-sharing
   2458 aidan     20   0  312964   7936   7296 S   0.0   0.0   0:00.02 gsd-smartcard
   2460 aidan     20   0  320004   9452   8428 S   0.0   0.1   0:00.02 gsd-sound
   2464 aidan     20   0  342364  23992  16888 S   0.0   0.1   0:00.17 gsd-wacom
   2469 aidan     20   0  344088  25856  18312 S   0.0   0.2   0:00.22 gsd-xsettings
   2480 aidan     20   0  685392  55952  41496 S   0.0   0.3   0:01.00 xdg-desktop-por
   2506 aidan     20   0  232272   7808   6016 S   0.0   0.0   0:00.01 gsd-disk-utilit
   2515 aidan     20   0  823340  66392  50816 S   0.0   0.4   0:00.20 evolution-alarm
   2532 aidan     20   0  237960   6992   6608 S   0.0   0.0   0:00.00 ibus-dconf
   2541 aidan     20   0  273156  28524  17744 S   0.0   0.2   0:01.97 ibus-extension-
   2552 aidan     20   0  194772  23572  16872 S   0.0   0.1   0:00.11 ibus-x11
   2561 aidan     20   0  237900   7264   6752 S   0.0   0.0   0:00.05 ibus-portal
   2589 aidan     20   0  343000  14688  12896 S   0.0   0.1   0:00.01 gsd-printer
   2590 aidan     20   0  856280 110372  52000 S   0.0   0.7   0:01.88 snap-store
   2638 aidan     20   0  439864  56352  41108 S   0.0   0.3   0:00.63 snapd-desktop-i
   2690 aidan     20   0 2866420  27396  22656 S   0.0   0.2   0:00.03 gjs
   2717 aidan     20   0  164252   7248   6608 S   0.0   0.0   0:01.56 ibus-engine-sim
   2787 aidan     20   0  342808  25536  18624 S   0.0   0.2   0:00.25 xdg-desktop-por
   2801 aidan     20   0  163668   6272   5760 S   0.0   0.0   0:00.00 gvfsd-metadata
   2872 root      20   0  394804  32692  26684 S   0.0   0.2   0:00.45 fwupd
   2920 aidan     20   0 3198280  62936  42208 S   0.0   0.4   0:01.40 gjs
   3196 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/10:3-cgroup_destroy
   4447 aidan     20   0   10612   3456   3200 S   0.0   0.0   0:00.00 brave-browser-s
   4452 aidan     20   0    9152   1920   1920 S   0.0   0.0   0:00.00 cat
   4453 aidan     20   0    9152   1920   1920 S   0.0   0.0   0:00.00 cat
   4454 aidan     20   0   32.7g 332604 192368 S   0.0   2.0   1:10.45 brave
   4456 aidan     20   0   32.0g   3640   3384 S   0.0   0.0   0:00.00 chrome_crashpad
   4458 aidan     20   0   32.0g   3404   3148 S   0.0   0.0   0:00.00 chrome_crashpad
   4464 aidan     20   0   32.4g  67284  53972 S   0.0   0.4   0:00.01 brave
   4465 aidan     20   0   32.4g  67784  54600 S   0.0   0.4   0:00.01 brave
   4467 aidan     20   0   32.4g  17516   4352 S   0.0   0.1   0:00.02 brave
   4490 aidan     20   0   32.8g 299136 168204 S   0.0   1.8   9:03.47 brave
   4491 aidan     20   0   32.5g 124936 102340 S   0.0   0.8   0:29.54 brave
   4502 aidan     20   0   32.4g  54352  39680 S   0.0   0.3   0:01.14 brave
   4519 aidan     20   0 1132.1g 115952  93904 S   0.0   0.7   0:00.31 brave
   4536 aidan     20   0 1132.2g 556336 130020 S   0.0   3.4  30:54.43 brave
   4545 aidan     20   0 1132.3g 580320 173316 S   0.0   3.6  20:51.19 brave
   4607 root      20   0       0      0      0 S   0.0   0.0   0:00.01 nvidia-drm/timeline-9
   4609 aidan     20   0   32.6g  41784   8460 S   0.0   0.3   0:00.00 brave
   4870 aidan     20   0  903476  61256  41904 S   0.0   0.4   0:45.28 gnome-terminal-
   4892 aidan     20   0   12252   5632   3840 S   0.0   0.0   0:00.06 bash
   5101 aidan     20   0 1132.2g 240224 114768 S   0.0   1.5   0:19.00 brave
   5102 aidan     20   0 1134.2g 163780 116408 S   0.0   1.0   0:00.91 brave
   5108 aidan     20   0 1132.1g 141240 104800 S   0.0   0.9   0:00.58 brave
   5179 aidan     20   0   12120   5504   3712 S   0.0   0.0   0:00.00 bash
   5229 root      20   0       0      0      0 I   0.0   0.0   0:00.20 kworker/14:3-events
   5256 aidan     20   0   32.6g  89064  74984 S   0.0   0.5   0:12.70 brave
   7713 aidan     20   0  809568  45928  36240 S   0.0   0.3   0:00.30 update-notifier
   9270 aidan     20   0  429232  12160  10752 S   0.0   0.1   0:00.01 deja-dup-monito
   9282 aidan     20   0 1132.2g 143616 111948 S   0.0   0.9   0:04.35 brave
   9288 aidan     20   0 1132.0g  71828  55296 S   0.0   0.4   0:00.03 brave
   9368 aidan     20   0 1123.4g 186096 134064 S   0.0   1.1   0:18.84 code
   9370 aidan     20   0   32.2g  47872  39936 S   0.0   0.3   0:00.01 code
   9371 aidan     20   0   32.2g  47872  39936 S   0.0   0.3   0:00.01 code
   9384 aidan     20   0   32.0g   3584   3328 S   0.0   0.0   0:00.00 chrome_crashpad
   9396 aidan     20   0   32.5g 200700 129916 S   0.0   1.2   0:53.54 code
   9414 aidan     20   0   32.3g  67428  58540 S   0.0   0.4   0:00.36 code
   9451 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-drm/timeline-e
   9545 aidan     20   0 1123.1g 101340  71732 S   0.0   0.6   0:03.35 code
   9546 aidan     20   0 1123.2g  99364  71680 S   0.0   0.6   0:03.49 code
   9588 aidan     20   0 1123.2g  89804  71296 S   0.0   0.6   0:04.11 code
   9603 aidan     20   0   68936  37736  15872 S   0.0   0.2   0:13.00 cpptools
   9604 aidan     20   0    8856   5500   3708 S   0.0   0.0   0:00.00 bash
   9636 aidan     20   0 1123.1g  73316  58496 S   0.0   0.4   0:00.41 code
   9732 aidan     20   0 1125.2g 208096  64640 S   0.0   1.3   0:21.78 code
  10485 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0-events
  10496 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-drm/timeline-f
  21562 aidan     20   0  644828  71480  32936 S   0.0   0.4   1:10.93 joint_state_pub
  21564 aidan     20   0  661768  39888  23248 S   0.0   0.2   0:39.81 robot_state_pub
  21852 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-drm/timeline-14
  22039 root      20   0       0      0      0 S   0.0   0.0   0:00.00 vidmem lazy free
  22040 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM GPU1 BH
  22041 root      20   0       0      0      0 S   0.0   0.0   0:00.00 UVM GPU1 KC
  33433 aidan     20   0   12120   5376   3712 S   0.0   0.0   0:00.03 bash
  60455 root      20   0   73524  14004  11828 S   0.0   0.1   0:00.01 cupsd
  60456 root      20   0  172636  11172   9764 S   0.0   0.1   0:00.00 cups-browsed
  60501 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/7:0-rcu_gp
 100340 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker/u32:3-events_power_efficient
 123845 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0
 128856 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker/u32:4-events_unbound
 137367 aidan     20   0  894864  59084  44992 S   0.0   0.4   0:00.33 gnome-calendar
 137368 aidan     20   0  392376  40316  26020 S   0.0   0.2   0:00.29 seahorse
 137536 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0
 137591 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/3:0-mm_percpu_wq
 149337 aidan     20   0 3063400  68056  26516 S   0.0   0.4   0:09.02 ros2
 149362 aidan     20   0  644436  68928  32308 S   0.0   0.4   0:17.39 joint_state_pub
 149364 aidan     20   0  661768  38544  23568 S   0.0   0.2   0:25.33 robot_state_pub
 149482 aidan     20   0  727816  41268  27444 S   0.0   0.3   0:21.28 map_server
 149636 aidan     20   0  727816  41564  27484 S   0.0   0.3   0:21.15 map_server
 149653 aidan     20   0   41520  24560  11096 S   0.0   0.2   0:00.21 ros2
 149679 root      20   0       0      0      0 S   0.0   0.0   0:00.00 nvidia-drm/timeline-20
 149732 aidan     20   0  584436  33968  21168 S   0.0   0.2   0:19.35 static_transfor
 150014 root      20   0       0      0      0 S   0.0   0.0   0:00.04 nvidia-drm/timeline-21
 150255 root      20   0       0      0      0 S   0.0   0.0   0:00.20 nvidia-drm/timeline-22
 168481 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker/u32:0-events_unbound
 181442 aidan     20   0   14144   7056   3600 S   0.0   0.0   0:03.58 htop
 193343 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u32:1-events_unbound
 193838 aidan     20   0 1134.1g  97568  78464 S   0.0   0.6   0:00.02 brave
 193973 aidan     20   0   12120   5248   3584 S   0.0   0.0   0:00.01 bash
